date,ticker,type,strike,expiry,credit,stock_price,delta,iv,dte,contracts,stars,outcome,close_at_expiry,pnl,evaluated_date
2026-06-13,TSLA,put,385.0,2026-06-26,6.58,406.43,-0.268,48.8,13,6,,,,,
2026-06-13,TSLA,call,425.0,2026-06-26,8.65,406.43,0.335,49.6,13,6,,,,,
2026-06-13,AMD,put,460.0,2026-07-10,18.45,511.57,-0.257,73.3,27,3,5,,,,
2026-06-13,AVGO,put,350.0,2026-07-02,5.33,382.07,-0.208,48.8,19,4,4,,,,
2026-06-13,NVDA,put,192.5,2026-06-26,1.65,205.19,-0.184,38.9,13,7,4,,,,
2026-06-13,HOOD,put,85.0,2026-07-02,2.63,93.19,-0.254,71.3,19,17,4,,,,
2026-06-13,MSFT,put,370.0,2026-06-26,2.61,390.74,-0.184,33.1,13,4,3,,,,
2026-06-14,TSLA,put,385.0,2026-06-26,6.58,406.43,-0.268,48.8,12,6,,,,,
2026-06-14,TSLA,call,425.0,2026-06-26,8.65,406.43,0.335,49.6,12,6,,,,,
2026-06-14,AMD,put,470.0,2026-07-02,16.98,511.57,-0.271,74.1,18,3,5,,,,
2026-06-14,AVGO,put,355.0,2026-07-02,6.78,382.07,-0.24,48.4,18,4,4,,,,
2026-06-14,HOOD,put,85.0,2026-07-02,2.63,93.19,-0.254,71.3,18,17,4,,,,
2026-06-14,NVDA,put,190.0,2026-07-02,1.96,205.19,-0.21,39.4,18,7,3,,,,
2026-06-14,SHOP,put,100.0,2026-07-02,2.44,108.24,-0.256,59.0,18,15,3,,,,
2026-06-15,TSLA,put,385.0,2026-06-26,4.17,411.54,-0.268,48.8,11,6,,,,,
2026-06-15,TSLA,call,425.0,2026-06-26,8.25,411.54,0.335,49.6,11,5,,,,,
2026-06-15,AMD,put,500.0,2026-07-02,15.05,550.23,-0.243,76.1,17,3,5,,,,
2026-06-15,HOOD,put,92.0,2026-06-26,1.94,99.14,-0.257,71.0,11,12,4,,,,
2026-06-15,NVDA,put,200.0,2026-06-26,2.01,208.94,-0.232,38.1,11,7,4,,,,
2026-06-15,PLTR,put,125.0,2026-06-26,1.88,131.69,-0.248,49.9,11,12,4,,,,
2026-06-15,OKLO,put,55.0,2026-06-26,1.66,60.12,-0.233,91.6,11,15,3,,,,
2026-06-15,TSLA,put,390.0,2026-06-26,5.12,409.67,-0.24,46.7,11,6,,,,,
2026-06-15,TSLA,call,425.0,2026-06-26,7.42,409.67,0.364,47.3,11,7,,,,,
